employee_id,department,job_role,monthly_income,years_at_company,attrition_probability,attrition_risk_level,engagement_score,current_skills_count,missing_skills_count,career_readiness_pct,missing_skills,recommended_learning_plan
14,Research & Development,Laboratory Technician,2426,5,0.1806,LOW,62.5,9,11,45.0,Active Listening|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft PowerPoint|Microsoft Word|Monitoring|Science|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
15,Research & Development,Laboratory Technician,4193,9,0.1807,LOW,81.25,10,10,50.0,Commercial plate reader software|Critical Thinking|Data entry software|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
16,Research & Development,Research Scientist,2911,5,0.1372,LOW,68.75,10,12,45.45,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Kafka|Bash|C++|Learning Strategies|Monitoring|Reading Comprehension|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
18,Research & Development,Laboratory Technician,2661,2,0.1598,LOW,75.0,8,12,40.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Data entry software|Google Docs|MEDITECH software|Microsoft Word|Reading Comprehension|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
19,Research & Development,Laboratory Technician,2028,4,0.8823,HIGH,62.5,9,11,45.0,Active Listening|Billing software|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Reading Comprehension|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
20,Research & Development,Manufacturing Director,9980,10,0.1162,LOW,62.5,10,10,50.0,Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Photoshop|Apache Hadoop|Apple macOS|Learning Strategies|Microsoft Office software|Reading Comprehension|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
21,Research & Development,Research Scientist,3298,6,0.3586,MEDIUM,68.75,10,12,45.45,Active Learning|Amazon Web Services AWS software|C|C++|Critical Thinking|Docker|Git|GitHub|Mathematics|Reading Comprehension|Science|Speaking,Applied Machine Learning & Deep Learning (C-TECH-03)
22,Research & Development,Laboratory Technician,2935,1,0.5188,MEDIUM,87.5,8,12,40.0,Active Listening|Billing software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
23,Sales,Manager,15427,25,0.1049,LOW,62.5,14,6,70.0,Active Listening|Adobe Acrobat|Atlassian Confluence|Critical Thinking|Microsoft PowerPoint|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
24,Research & Development,Research Scientist,3944,3,0.2348,LOW,87.5,10,12,45.45,Active Listening|Amazon Web Services AWS software|Ansible software|C|C++|Critical Thinking|Docker|Go|Mathematics|Reading Comprehension|Science|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
26,Research & Development,Manufacturing Director,4011,4,0.1346,LOW,75.0,9,11,45.0,Active Learning|Active Listening|Adobe Creative Cloud software|Apache Hadoop|Atlassian Confluence|Autodesk AutoCAD|Learning Strategies|Microsoft Excel|Microsoft Office software|Reading Comprehension|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
27,Sales,Sales Representative,3407,5,0.5863,MEDIUM,50.0,9,10,47.37,Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Apple macOS|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Salesforce software,Critical Thinking & Complex Decision Making (C-SOFT-01)
28,Research & Development,Research Director,11994,12,0.1027,LOW,56.25,12,10,54.55,Active Learning|Active Listening|Critical Thinking|ESRI ArcGIS software|Learning Strategies|Microsoft Access|Microsoft Office software|Microsoft Outlook|Reading Comprehension|Science,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
30,Research & Development,Research Scientist,1232,0,0.2569,LOW,87.5,8,14,36.36,Active Learning|Active Listening|Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|Apache Spark|Bash|Critical Thinking|GitHub|Go|Learning Strategies|Mathematics|Reading Comprehension|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
31,Research & Development,Research Scientist,2960,4,0.2678,LOW,56.25,10,12,45.45,Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Kafka|C++|Critical Thinking|Git|GitHub|Go|Mathematics|Reading Comprehension|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
32,Research & Development,Manager,19094,14,0.064,LOW,81.25,13,7,65.0,Adobe Acrobat|Adobe Photoshop|Amazon Web Services AWS software|Atlassian JIRA|Learning Strategies|Microsoft Office software|Reading Comprehension,Critical Thinking & Complex Decision Making (C-SOFT-01)
33,Research & Development,Research Scientist,3919,10,0.753,HIGH,37.5,11,11,50.0,Active Learning|Apache Hadoop|C++|Critical Thinking|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
35,Sales,Sales Executive,6825,9,0.1517,LOW,75.0,9,10,47.37,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Microsoft Outlook|Reading Comprehension|Salesforce software|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
36,Research & Development,Healthcare Representative,10248,22,0.0997,LOW,68.75,12,7,63.16,Active Learning|Active Listening|Apache Hadoop|Critical Thinking|Google Workspace software|HubSpot software|IBM SPSS Statistics,Executive Communication & Stakeholder Alignment (C-SOFT-02)
38,Sales,Manager,18947,2,0.107,LOW,62.5,12,8,60.0,Active Listening|Apache Hadoop|Critical Thinking|Microsoft Office software|Microsoft PowerPoint|Monitoring|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
39,Research & Development,Laboratory Technician,2496,1,0.2228,LOW,87.5,9,11,45.0,Active Learning|Active Listening|Commercial plate reader software|Critical Thinking|Data entry software|MEDITECH software|Microsoft Excel|Microsoft Office software|Monitoring|Science|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
40,Research & Development,Healthcare Representative,6465,4,0.1154,LOW,93.75,9,10,47.37,Active Learning|Active Listening|Amazon Web Services AWS software|Intuit QuickBooks|Linux|Microsoft Excel|Microsoft Office software|Monitoring|Reading Comprehension|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
41,Research & Development,Laboratory Technician,2206,10,0.1754,LOW,62.5,10,10,50.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring,Executive Communication & Stakeholder Alignment (C-SOFT-02)
42,Sales,Sales Representative,2086,1,0.6803,HIGH,87.5,11,8,57.89,Adobe Acrobat|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Critical Thinking|Monitoring|Salesforce software|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
45,Research & Development,Research Scientist,2293,2,0.768,HIGH,62.5,10,12,45.45,Active Learning|Apache Hadoop|Apache Kafka|Bash|Docker|Git|GitHub|Go|Monitoring|Reading Comprehension|Science|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
46,Research & Development,Research Scientist,2645,5,0.085,LOW,93.75,10,12,45.45,Active Learning|Active Listening|Ansible software|Apache Spark|Bash|GitHub|Go|Learning Strategies|Mathematics|Monitoring|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
47,Sales,Sales Representative,2683,3,0.5611,MEDIUM,56.25,8,11,42.11,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Apple macOS|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
49,Sales,Sales Representative,2014,2,0.2353,LOW,75.0,8,11,42.11,Active Listening|Adobe Illustrator|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
51,Research & Development,Research Scientist,3419,1,0.386,MEDIUM,56.25,10,12,45.45,Active Learning|Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|Apache Spark|C|GitHub|Go|Learning Strategies|Monitoring|Reading Comprehension|Science,Critical Thinking & Complex Decision Making (C-SOFT-01)
52,Sales,Sales Executive,5376,5,0.1443,LOW,56.25,9,10,47.37,Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Autodesk AutoCAD|Microsoft Outlook|Salesforce software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
53,Research & Development,Laboratory Technician,1951,1,0.2517,LOW,81.25,8,12,40.0,Active Learning|Active Listening|Critical Thinking|Data entry software|Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
54,Research & Development,Laboratory Technician,2341,1,0.5179,MEDIUM,75.0,8,12,40.0,Active Listening|Billing software|Data entry software|Database software|Microsoft Excel|Microsoft Office software|Microsoft Word|Monitoring|Reading Comprehension|SAP software|Science|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
55,Research & Development,Laboratory Technician,2293,1,0.8377,HIGH,50.0,8,12,40.0,Billing software|Commercial plate reader software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Office software|Microsoft Word|Monitoring|Science|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
56,Sales,Sales Executive,8726,9,0.1415,LOW,87.5,9,10,47.37,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Apple macOS|Microsoft Office software|Microsoft Outlook|Monitoring|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
57,Research & Development,Laboratory Technician,4011,12,0.0999,LOW,87.5,10,10,50.0,Billing software|Commercial plate reader software|Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Reading Comprehension|SAP software,Critical Thinking & Complex Decision Making (C-SOFT-01)
58,Research & Development,Research Director,19545,22,0.113,LOW,75.0,14,8,63.64,Critical Thinking|IBM SPSS Statistics|Microsoft Outlook|Microsoft Visio|Monitoring|Reading Comprehension|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
60,Sales,Sales Executive,4568,9,0.1532,LOW,68.75,9,10,47.37,Active Listening|Adobe Creative Cloud software|Adobe InDesign|Apple macOS|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Reading Comprehension|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
61,Research & Development,Research Scientist,3022,1,0.2663,LOW,50.0,10,12,45.45,Active Learning|Ansible software|C|C++|Docker|Git|GitHub|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science,Applied Machine Learning & Deep Learning (C-TECH-03)
62,Sales,Sales Executive,5772,9,0.2559,LOW,68.75,10,9,52.63,Active Listening|Adobe Illustrator|Adobe Photoshop|Apple macOS|Critical Thinking|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
63,Research & Development,Laboratory Technician,2269,1,0.1865,LOW,100.0,8,12,40.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|Microsoft PowerPoint|Microsoft Word|Monitoring|Science|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
64,Research & Development,Laboratory Technician,5381,1,0.6546,HIGH,62.5,13,7,65.0,Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
65,Research & Development,Laboratory Technician,3441,2,0.7482,HIGH,75.0,8,12,40.0,Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|MEDITECH software|Microsoft Outlook|Microsoft Word|Reading Comprehension|Science|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
68,Sales,Sales Executive,5454,4,0.2324,LOW,56.25,9,10,47.37,Active Learning|Adobe Illustrator|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Microsoft Outlook|Monitoring|Reading Comprehension|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
70,Research & Development,Healthcare Representative,9884,4,0.255,LOW,56.25,9,10,47.37,Active Listening|Amazon Web Services AWS software|Critical Thinking|IBM SPSS Statistics|Intuit QuickBooks|Linux|Microsoft Excel|Microsoft Office software|Monitoring|Reading Comprehension,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
72,Sales,Sales Executive,4157,2,0.3241,LOW,75.0,8,11,42.11,Active Learning|Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Apple macOS|Critical Thinking|Microsoft Office software|Monitoring|Salesforce software,Executive Communication & Stakeholder Alignment (C-SOFT-02)
73,Research & Development,Research Director,13458,15,0.1491,LOW,68.75,12,10,54.55,Active Learning|Active Listening|ESRI ArcGIS software|Learning Strategies|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Microsoft SharePoint|Reading Comprehension|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
74,Sales,Sales Executive,9069,9,0.118,LOW,62.5,9,10,47.37,Active Learning|Active Listening|Adobe Creative Cloud software|Adobe Illustrator|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Microsoft PowerPoint|Monitoring,Executive Communication & Stakeholder Alignment (C-SOFT-02)
75,Research & Development,Laboratory Technician,4014,2,0.3442,LOW,62.5,8,12,40.0,Active Listening|Billing software|Commercial plate reader software|Database software|Google Docs|MEDITECH software|Microsoft Office software|Microsoft Word|Reading Comprehension|SAP software|Science|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
76,Research & Development,Laboratory Technician,5915,7,0.1045,LOW,93.75,10,10,50.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Google Docs|Microsoft Excel|Microsoft Word|Monitoring|SAP software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
77,Research & Development,Manufacturing Director,5993,7,0.0788,LOW,56.25,9,11,45.0,Adobe Acrobat|Adobe Creative Cloud software|Amazon Web Services AWS software|Apple macOS|Atlassian JIRA|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Monitoring|Reading Comprehension|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
78,Research & Development,Manufacturing Director,6162,9,0.1822,LOW,62.5,10,10,50.0,Active Listening|Adobe Acrobat|Apache Hadoop|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Reading Comprehension,Executive Communication & Stakeholder Alignment (C-SOFT-02)
79,Research & Development,Laboratory Technician,2406,10,0.114,LOW,93.75,10,10,50.0,Active Listening|Commercial plate reader software|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Reading Comprehension|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
80,Research & Development,Research Director,18740,27,0.1291,LOW,68.75,15,7,68.18,Adobe Photoshop|Learning Strategies|Microsoft PowerPoint|Microsoft SharePoint|Reading Comprehension|Science|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
81,Sales,Sales Executive,7637,21,0.1225,LOW,56.25,13,6,68.42,Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Microsoft Excel|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
83,Research & Development,Healthcare Representative,10096,17,0.0934,LOW,68.75,11,8,57.89,Amazon Web Services AWS software|Google Analytics|Google Workspace software|Intuit QuickBooks|Microsoft Office software|Monitoring|Salesforce software|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
84,Research & Development,Manager,14756,5,0.102,LOW,81.25,12,8,60.0,Adobe Creative Cloud software|Apache Hadoop|Autodesk AutoCAD|Critical Thinking|Learning Strategies|Microsoft Excel|Microsoft Office software|Reading Comprehension,Critical Thinking & Complex Decision Making (C-SOFT-01)
85,Research & Development,Manufacturing Director,6499,6,0.1662,LOW,56.25,9,11,45.0,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Amazon Web Services AWS software|Apache Hadoop|Autodesk AutoCAD|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
86,Research & Development,Research Scientist,9724,1,0.1185,LOW,56.25,14,8,63.64,Active Listening|Apache Kafka|Apache Spark|Critical Thinking|Git|GitHub|Go|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
88,Research & Development,Research Scientist,2194,3,0.1533,LOW,62.5,10,12,45.45,Active Learning|Active Listening|Amazon Web Services AWS software|Apache Hadoop|Bash|C++|Critical Thinking|Git|GitHub|Go|Mathematics|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
90,Research & Development,Research Scientist,3388,1,0.3925,MEDIUM,62.5,9,13,40.91,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Spark|Bash|C++|Critical Thinking|GitHub|Learning Strategies|Reading Comprehension|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
91,Sales,Sales Executive,5473,4,0.2229,LOW,62.5,11,8,57.89,Active Listening|Adobe Photoshop|Apple macOS|Critical Thinking|Microsoft Excel|Monitoring|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
94,Research & Development,Research Scientist,2703,5,0.0803,LOW,75.0,10,12,45.45,Active Learning|Amazon Web Services AWS software|Apache Hadoop|Apache Spark|C++|Go|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
95,Research & Development,Research Scientist,2501,1,0.3217,LOW,62.5,9,13,40.91,Active Listening|Ansible software|Apache Hadoop|Apache Spark|C|C++|Docker|Git|Go|Learning Strategies|Mathematics|Monitoring|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
96,Research & Development,Research Scientist,6220,10,0.107,LOW,56.25,11,11,50.0,Active Listening|Amazon Web Services AWS software|Ansible software|Bash|C++|Docker|Git|GitHub|Mathematics|Reading Comprehension|Science,Executive Communication & Stakeholder Alignment (C-SOFT-02)
97,Research & Development,Laboratory Technician,3038,1,0.2337,LOW,75.0,9,11,45.0,Active Learning|Active Listening|Billing software|MEDITECH software|Microsoft Excel|Microsoft PowerPoint|Microsoft Word|Monitoring|SAP software|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
98,Research & Development,Manufacturing Director,4424,11,0.072,LOW,87.5,10,10,50.0,Active Learning|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Critical Thinking|Learning Strategies|Microsoft Office software|Monitoring|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
100,Sales,Sales Executive,4312,15,0.1484,LOW,50.0,11,8,57.89,Adobe Acrobat|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
101,Research & Development,Research Director,13245,0,0.1543,LOW,62.5,13,9,59.09,Adobe Acrobat|Learning Strategies|Microsoft Access|Microsoft Excel|Microsoft PowerPoint|Microsoft Project|Microsoft SharePoint|Microsoft Visio|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
102,Research & Development,Research Director,13664,5,0.1867,LOW,50.0,12,10,54.55,Adobe Acrobat|ESRI ArcGIS software|IBM SPSS Statistics|Learning Strategies|Mathematics|Microsoft Access|Microsoft Office software|Microsoft Project|Microsoft SharePoint|Reading Comprehension,Critical Thinking & Complex Decision Making (C-SOFT-01)
103,Human Resources,Human Resources,5021,4,0.1855,LOW,68.75,11,9,55.0,Active Listening|Adobe Acrobat|Adobe Photoshop|Critical Thinking|Learning Strategies|Microsoft Excel|Microsoft Office software|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
104,Research & Development,Laboratory Technician,5126,10,0.0811,LOW,81.25,10,10,50.0,Active Learning|Billing software|Commercial plate reader software|MEDITECH software|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Microsoft Word|Monitoring|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
105,Research & Development,Research Scientist,2859,6,0.1365,LOW,50.0,10,12,45.45,Active Learning|Active Listening|Apache Kafka|Bash|C|Critical Thinking|Go|Learning Strategies|Monitoring|Reading Comprehension|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
106,Sales,Sales Executive,10239,1,0.1244,LOW,75.0,12,7,63.16,Active Learning|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
107,Research & Development,Research Scientist,5329,13,0.0837,LOW,68.75,13,9,59.09,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Kafka|Bash|C|Git|GitHub|Science,Critical Thinking & Complex Decision Making (C-SOFT-01)
110,Research & Development,Manufacturing Director,4325,5,0.1641,LOW,56.25,9,11,45.0,Active Learning|Adobe Acrobat|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Apple macOS|Atlassian Confluence|Atlassian JIRA|Microsoft Excel|Monitoring|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
112,Research & Development,Manufacturing Director,7260,6,0.0833,LOW,62.5,16,4,80.0,Active Learning|Active Listening|Microsoft Office software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
113,Sales,Sales Representative,2322,0,0.4019,MEDIUM,62.5,8,11,42.11,Active Learning|Active Listening|Adobe Acrobat|Adobe InDesign|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Salesforce software|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
116,Research & Development,Laboratory Technician,2075,4,0.1056,LOW,81.25,10,10,50.0,Active Learning|Commercial plate reader software|Critical Thinking|Data entry software|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft Word|Science|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
117,Research & Development,Healthcare Representative,4152,11,0.0992,LOW,62.5,9,10,47.37,Active Listening|Amazon Web Services AWS software|Critical Thinking|HubSpot software|IBM SPSS Statistics|Intuit QuickBooks|Monitoring|Reading Comprehension|Salesforce software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
118,Sales,Sales Executive,9619,9,0.4553,MEDIUM,81.25,9,10,47.37,Active Listening|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Apple macOS|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Monitoring|Reading Comprehension,Executive Communication & Stakeholder Alignment (C-SOFT-02)
119,Research & Development,Healthcare Representative,13503,22,0.084,LOW,68.75,12,7,63.16,Active Listening|Critical Thinking|Intuit QuickBooks|Linux|Microsoft Office software|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
120,Sales,Sales Executive,5441,10,0.2268,LOW,87.5,9,10,47.37,Active Learning|Adobe Creative Cloud software|Adobe Illustrator|Autodesk AutoCAD|Microsoft Office software|Microsoft PowerPoint|Reading Comprehension|Salesforce software|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
121,Sales,Sales Executive,5209,11,0.1376,LOW,56.25,9,10,47.37,Active Listening|Autodesk AutoCAD|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Salesforce software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
124,Research & Development,Healthcare Representative,10673,10,0.0876,LOW,56.25,12,7,63.16,Active Listening|Amazon Web Services AWS software|Apache Hadoop|Microsoft Office software|Monitoring|Salesforce software|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
